ordinal,id,location,euro,surface,compartiment,link
188,X83T0000M,manastur,95000,92,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X83T0000M?lista=141495822
189,X93B10086,marasti,86300,74,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B10086?lista=141495822
190,X8SC1001K,marasti,89950,72,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC1001K?lista=141495822
191,X93B1000G,buna ziua,87150,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B1000G?lista=141495822
192,X3SH100AQ,buna ziua,103000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X3SH100AQ?lista=141495822
193,X93B1003F,buna ziua,95900,77,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B1003F?lista=141495822
194,X7JK0003U,gheorgheni,99900,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X7JK0003U?lista=141495822
195,X1KA10011,manastur,103000,75,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA10011?lista=141495822
196,XAON10018,gheorgheni,109000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-XAON10018?lista=141495822
197,X1KA1017K,manastur,107000,82,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA1017K?lista=141495822
